sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_bmasse,pl_orbeccen,st_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
2,2,2000,2140.2,3.712,4252.39,0.341,1.48,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,1,2000,3.024,0.041,79.1,0.04,1.0,98.3030763,5.4625071,29.5529,7.91,6.0,7.69533
1,1,2000,118.96,0.49,359.0,0.29,1.13,105.0746449,-5.3668142,29.9803,6.29351,4.953,6.15257
1,1,2000,2502.1,3.4,540.311,0.608,0.85,53.2284306,-9.4581715,3.2026,3.71548,1.776,3.47719
1,1,2000,2502.0,3.39,492.6365,0.702,0.83,53.2284306,-9.4581715,3.2026,3.71548,1.776,3.47719
1,1,2000,2671.0,3.53,209.76675,0.07,0.82,53.2284306,-9.4581715,3.2026,3.71548,1.776,3.47719
2,2,2000,14.3093,0.1313,270.8,0.248,0.98,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,2,2000,14.3102,0.1313,272.06248,0.244,0.98,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,2,2000,2165.0,3.74,4195.2,0.3506,0.98,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,2,2000,2146.1,3.72,4163.573,0.3551,0.98,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,2,2000,14.31014,0.1329,278.41768,0.26,1.53,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,2,2000,2133.3,3.7365,4198.51326,0.3545,1.53,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,2,2000,14.30944,0.1294,253.31051,0.28,1.41,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,2,2000,2136.1,3.64,4128.6117,0.3407,1.41,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,1,2000,428.1,1.271,495.8,0.06,1.23,64.1205476,-59.3028771,18.2704,4.44,1.745,4.14532
1,2,2000,1749.5,2.91,5752.5,0.2125,0.98,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
1,2,2000,1748.2,2.91,5752.723,0.2122,0.98,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
1,2,2000,1749.67,2.881,5644.63251,0.2112,1.04,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
1,2,2000,225.789,0.813,939.50077,0.306,1.41,276.9561859,-29.8167919,37.6048,5.9,4.688,5.77641
1,2,2000,1749.83,2.8373,5464.221,0.2113,0.99,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
2,1,2000,75.455,0.3609,79.4571,0.195,1.1,38.8323674,-3.5624887,37.7861,6.834,5.266,6.65773
1,2,2000,225.62,0.81,915.31,0.31,1.4,276.9561859,-29.8167919,37.6048,5.9,4.688,5.77641
1,2,2000,229.9,0.82,934.4202,0.35,1.4,276.9561859,-29.8167919,37.6048,5.9,4.688,5.77641
2,2,2000,14.32,0.13,244.7291,0.27,1.39,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,1,2000,75.523,0.36,82.6358,0.25,1.11,38.8323674,-3.5624887,37.7861,6.834,5.266,6.65773
1,4,2000,646.485,1.535,532.978,1.0E-4,1.03,266.0361585,-51.8348751,15.5981,5.12,3.683,4.94916
2,1,2000,75.523,0.363,82.6,0.252,1.12,38.8323674,-3.5624887,37.7861,6.834,5.266,6.65773
1,1,2000,119.263,0.506,352.15387,0.213,1.22,105.0746449,-5.3668142,29.9803,6.29351,4.953,6.15257
1,1,2000,119.29,0.504,346.0,0.325,1.2,105.0746449,-5.3668142,29.9803,6.29351,4.953,6.15257
1,2,2000,262.709,0.831,731.0,0.3768,1.0,31.1423525,25.4135632,37.8478,7.43,5.861,7.24746
1,2,2000,262.53,0.831,743.7,0.361,1.0,31.1423525,25.4135632,37.8478,7.43,5.861,7.24746
1,1,2000,119.6,0.5,334.0,0.35,1.18,105.0746449,-5.3668142,29.9803,6.29351,4.953,6.15257
1,2,2000,262.36,0.824,725.60225,0.3597,1.08,31.1423525,25.4135632,37.8478,7.43,5.861,7.24746
1,1,2000,3.092535,0.04439,307.34007,0.016,1.22,288.8890182,-24.1797939,27.4573,6.25,4.936,6.1106
1,1,2000,119.29,0.5,368.6828,0.32,1.32,105.0746449,-5.3668142,29.9803,6.29351,4.953,6.15257
1,1,2000,3.092514,0.0443,291.12,0.022,1.21,288.8890182,-24.1797939,27.4573,6.25,4.936,6.1106
1,2,2000,325.705,0.949,1118.75599,0.3552,1.08,160.7021351,-2.1847173,34.6538,7.31637,5.721,7.13929
1,2,2000,262.70862,0.84,772.3269,0.38,1.2,31.1423525,25.4135632,37.8478,7.43,5.861,7.24746
1,1,2000,119.27,0.52,384.5743,0.27,1.2,105.0746449,-5.3668142,29.9803,6.29351,4.953,6.15257
1,4,2000,645.5,1.5,530.75,0.2,1.08,266.0361585,-51.8348751,15.5981,5.12,3.683,4.94916
1,2,2000,325.803,0.97,1195.0408,0.35,1.15,160.7021351,-2.1847173,34.6538,7.31637,5.721,7.13929
1,2,2000,325.72,0.971,1201.3974,0.351,1.03,160.7021351,-2.1847173,34.6538,7.31637,5.721,7.13929
1,1,2000,3.487,0.046,152.55,0.05,1.1,164.6191243,-10.7704227,84.4069,10.013,8.124,9.83981
1,2,2000,325.81,0.95,1179.1493,0.33,1.15,160.7021351,-2.1847173,34.6538,7.31637,5.721,7.13929
1,2,2000,326.7,0.95,1061.5522,0.3,1.06,160.7021351,-2.1847173,34.6538,7.31637,5.721,7.13929
1,2,2000,252.7,0.79,886.7457,0.23,1.07,31.1423525,25.4135632,37.8478,7.43,5.861,7.24746
1,2,2000,325.0,0.96,1137.8314,0.35,1.1,160.7021351,-2.1847173,34.6538,7.31637,5.721,7.13929
1,1,2000,3.487905,0.045,142.70495,0.022,1.0,164.6191243,-10.7704227,84.4069,10.013,8.124,9.83981
2,1,2000,3.023495,0.03998,72.01992,0.063,0.93,98.3030763,5.4625071,29.5529,7.91,6.0,7.69533
2,1,2000,3.023573,0.0398,71.8,0.063,0.92,98.3030763,5.4625071,29.5529,7.91,6.0,7.69533
1,1,2000,2650.0,3.5,206.90629,0.044,0.81,53.2284306,-9.4581715,3.2026,3.71548,1.776,3.47719
1,1,2000,3.48777,0.0452,145.56,0.019,1.01,164.6191243,-10.7704227,84.4069,10.013,8.124,9.83981
1,1,2000,3.48777,0.04,187.5197,0.02,1.47,164.6191243,-10.7704227,84.4069,10.013,8.124,9.83981
2,1,2000,133.71,0.49,1071.04,0.511,0.9,4.0634323,-79.8514218,17.5559,6.59,4.859,6.39729
1,4,2000,30.126,0.134,281.74197,0.25,0.34,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,2000,30.455,0.13065,251.075,0.2632,0.34,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,2000,30.22902,0.1363,221.84423,0.0069,0.37,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,2000,30.12,0.13,177.98,0.27,0.34,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,2,2001,501.0,1.2,317.83,0.1,0.92,198.1818436,-2.2649921,21.0628,7.56,5.475,7.31783
1,2,2001,493.7,1.16,349.6,0.144,0.85,198.1818436,-2.2649921,21.0628,7.56,5.475,7.31783
2,3,2001,351.43394,1.039,396.96768,0.158,1.21,1.5836771,-49.0753625,26.1853,5.7,4.474,5.58442
2,3,2001,339.0,1.0,327.35,0.37,1.15,1.5836771,-49.0753625,26.1853,5.7,4.474,5.58442
3,1,2001,71.484,0.339,2234.25,0.114,1.01,287.2632091,34.6006972,40.9727,7.97,6.375,7.86705
1,1,2001,626.0,1.5,794.5,0.02,1.1,54.9281897,-52.9162344,33.4591,7.12,5.705,6.96235
1,2,2001,379.0,1.1,2129.461,0.05,1.24,66.6100461,-10.5510754,39.3809,7.8,6.185,7.62682
1,2,2001,385.9,1.032,1776.59,0.092,0.98,66.6100461,-10.5510754,39.3809,7.8,6.185,7.62682
1,2,2001,385.52775,1.035,1855.16441,0.055,0.99,66.6100461,-10.5510754,39.3809,7.8,6.185,7.62682
1,3,2001,2088.75851,3.311,3917.23512,0.642,1.1,84.2992798,-80.4646041,18.2702,5.65,4.241,5.5128
1,3,2001,2049.0,3.28,3273.649,0.61,1.1,84.2992798,-80.4646041,18.2702,5.65,4.241,5.5128
1,2,2001,406.0,1.1,508.528,0.53,1.06,11.1722288,20.4483925,81.3795,8.7,7.047,8.51545
1,1,2001,829.0,1.7,254.264,0.04,0.93,11.1125532,-26.5150392,34.1937,7.783,6.163,7.61066
1,2,2001,6.276,0.071,604.0,0.14,1.2,124.5935429,61.4608518,60.8447,8.2,6.743,8.04611
2,1,2001,111.429,0.447,1242.7153,0.9324,0.96,140.6569501,50.6037764,66.4711,9.06,7.316,8.82008
2,1,2001,111.4357,0.449,1252.2,0.9332,0.97,140.6569501,50.6037764,66.4711,9.06,7.316,8.82008
2,1,2001,111.4367,0.4565,1308.18828,0.93226,1.02,140.6569501,50.6037764,66.4711,9.06,7.316,8.82008
1,2,2001,437.05,1.1735,578.43,0.52,0.99,11.1722288,20.4483925,81.3795,8.7,7.047,8.51545
1,2,2001,437.18,1.177,579.08336,0.513,1.14,11.1722288,20.4483925,81.3795,8.7,7.047,8.51545
2,3,2001,350.3,1.045,416.34,0.26,1.24,1.5836771,-49.0753625,26.1853,5.7,4.474,5.58442
